gold_node_token,ud_node_token,ud_node_lemma,ud_node_upos,ud_node_xpos
now,Thailand,Thailand,PROPN,N|eigen|ev|basis|onz|stan
person.n.01,person.n.01,zij,PRON,VNW|pers|pron|nomin|vol|3p|mv
time.n.08,female.n.02,Thailand,PROPN,N|eigen|ev|basis|onz|stan
country.n.02,time.n.08,geboren,VERB,WW|vd|vrij|zonder
"""Thailand""",now,,,
fire.n.01,vuur.n.01,vuur,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,verwoesten,VERB,WW|pv|verl|ev
building.n.01,gebouw.n.01,gebouw,NOUN,N|soort|ev|basis|onz|stan
tall.a.01,hoog.a.01,hoog,ADJ,ADJ|prenom|basis|met-e|stan
uncle.n.01,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
speaker,speaker,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
person.n.01,oom.n.01,oom,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,geven,VERB,WW|pv|verl|ev
male.n.02,person.n.01,hem,PRON,VNW|pers|pron|obl|vol|3|ev|masc
present.n.02,geschenk.n.01,geschenk,NOUN,N|soort|ev|basis|onz|stan
male.n.02,dorp.n.01,dorp,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,wonen,VERB,WW|pv|tgw|met-t
village.n.02,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
person.n.01,time.n.08,kiezen,VERB,WW|vd|vrij|zonder
male.n.02,ken.n.01,ken,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,wachten,VERB,WW|pv|verl|ev
female.n.02,mes.n.01,mes,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,doden,VERB,WW|pv|verl|ev
male.n.02,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
knife.n.02,person.n.01,hem,PRON,VNW|pers|pron|obl|vol|3|ev|masc
person.n.01,time.n.08,slaperig,ADJ,ADJ|vrij|basis|zonder
person.n.01,time.n.08,hebben,VERB,WW|pv|tgw|ev
cat.n.01,kat.n.01,kat,NOUN,N|soort|mv|basis
2,twee,twee,NOUN,TW|hoofd|prenom|stan
male.n.02,zwaar.a.01,zwaar,ADJ,ADJ|vrij|basis|zonder
time.n.08,time.n.08,gewond,ADJ,ADJ|vrij|basis|zonder
badly.r.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
hearer,now,,,
now,hearer,je,PRON,VNW|pers|pron|nomin|red|2v|ev
person.n.01,time.n.08,fotogeniek,ADJ,ADJ|vrij|basis|zonder
time.n.08,person.n.01,je,PRON,VNW|pers|pron|nomin|red|2v|ev
person.n.01,now,,,
container.n.01,time.n.08,dit,PRON,VNW|aanw|pron|stan|vol|3o|ev
time.n.08,container.n.01,container,NOUN,N|soort|ev|basis|zijd|stan
kitchen.n.01,speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
"""Aurélie""",now,,,
female.n.02,time.n.08,herderin,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,female.n.02,Aurélie,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,jong.a.01,jong,ADJ,ADJ|prenom|basis|met-e|stan
now,Aurélie,Aurélie,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,time.n.08,tennisspeler,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,horen,VERB,WW|pv|verl|ev
noise.n.01,geluid.n.01,geluid,NOUN,N|soort|ev|basis|onz|stan
bedroom.n.01,slaap_kamer.n.01,slaap_kamer,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,terug_komen,VERB,WW|vd|vrij|zonder
"""Israël""",now,,,
state.n.04,time.n.08,land,NOUN,N|soort|ev|basis|onz|stan
time.n.08,female.n.02,Israël,PROPN,N|eigen|ev|basis|onz|stan
country.n.01,ontwikkelen.v.01,ontwikkelen,VERB,WW|vd|prenom|zonder
now,Israël,Israël,PROPN,N|eigen|ev|basis|onz|stan
location.n.01,time.n.08,liggen,VERB,WW|pv|tgw|met-t
time.n.08,waar.r.01,waar,ADV,VNW|vb|adv-pron|obl|vol|3o|getal
city.n.01,female.n.02,Euskirchen,PROPN,N|eigen|ev|basis|onz|stan
"""Euskirchen""",Euskirchen,Euskirchen,PROPN,N|eigen|ev|basis|onz|stan
book.n.02,time.n.08,dit,PRON,VNW|aanw|pron|stan|vol|3o|ev
time.n.08,boek.n.01,boek,NOUN,N|soort|ev|basis|onz|stan
person.n.01,time.n.08,begrijpen,VERB,WW|pv|tgw|met-t
time.n.08,person.n.01,jij,PRON,VNW|pers|pron|nomin|vol|2v|ev
person.n.01,person.n.01,me,PRON,VNW|pr|pron|obl|red|1|ev
now,hearer,jij,PRON,VNW|pers|pron|nomin|vol|2v|ev
speaker,speaker,me,PRON,VNW|pr|pron|obl|red|1|ev
experience.n.01,ervaring.n.01,ervaring,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,glimlachen,VERB,WW|pv|verl|ev
car.n.01,auto.n.01,auto,NOUN,N|soort|ev|basis|zijd|stan
entity.n.01,person.n.01,dat,PRON,VNW|aanw|pron|stan|vol|3o|ev
time.n.08,time.n.08,interessant,ADJ,ADJ|vrij|basis|zonder
male.n.02,boek.n.01,boek,NOUN,N|soort|mv|basis
time.n.08,time.n.08,schrijven,VERB,WW|pv|tgw|met-t
book.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
person.n.01,time.n.08,jaar,NOUN,N|soort|ev|basis|onz|stan
measure.n.02,18,18,NOUN,TW|hoofd|prenom|stan
male.n.02,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
time.n.08,time.n.08,ziek,ADJ,ADJ|vrij|basis|zonder
male.n.02,time.n.08,heer,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,verstaan,VERB,WW|inf|vrij|zonder
entity.n.01,person.n.01,niets,PRON,VNW|onbep|pron|stan|vol|3o|ev
time.n.08,time.n.08,zeventien,NUM,TW|hoofd|vrij
measure.n.02,person.n.01,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
17,speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
"""year""",ook.r.01,ook,ADV,BW
"""Elaine""",now,,,
now,Elaine,Elaine,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,mes.n.01,mes,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,snijden,VERB,WW|pv|verl|ev
cheese.n.01,moeder.n.01,moeder,NOUN,N|soort|ev|basis|zijd|stan
knife.n.01,kaas.n.01,kaas,NOUN,N|soort|ev|basis|zijd|stan
"""Parmalat""",now,,,
company.n.01,time.n.08,kosten,VERB,WW|pv|tgw|ev
time.n.08,female.n.02,Parmalat,PROPN,N|eigen|ev|basis|onz|stan
measure.n.02,miljard.n.01,miljard,NOUN,N|soort|ev|basis|onz|stan
now,Parmalat,Parmalat,PROPN,N|eigen|ev|basis|onz|stan
14300000000,"14,3","14,3",NOUN,TW|hoofd|prenom|stan
euro.n.01,euro.n.01,euro,NOUN,N|soort|ev|basis|zijd|stan
"""Stephen Hawking""",now,,,
male.n.02,time.n.08,natuurkundig,ADJ,ADJ|nom|basis|met-e|zonder-n|stan
time.n.08,female.n.02,Stephen,PROPN,SPEC|deeleigen
now,Stephen,Stephen,PROPN,SPEC|deeleigen
female.n.02,person.n.01,zij,PRON,VNW|pers|pron|nomin|vol|3v|ev|fem
time.n.08,time.n.08,luisteren,VERB,WW|vd|vrij|zonder
female.n.02,bank.n.02,bank,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,zitten,VERB,WW|pv|verl|ev
bench.n.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
time.n.08,time.n.08,fiets,NOUN,N|soort|ev|basis|zijd|stan
entity.n.01,person.n.01,dit,PRON,VNW|aanw|pron|stan|vol|3o|ev
bicycle.n.01,person.n.01,jou,PRON,VNW|bez|det|stan|vol|2|ev|prenom|zonder|agr
hearer,hearer,jou,PRON,VNW|bez|det|stan|vol|2|ev|prenom|zonder|agr
location.n.01,time.n.08,zijn,VERB,WW|pv|tgw|mv
lifeboat.n.01,redding_boot.n.01,redding_boot,NOUN,N|soort|mv|basis
time.n.08,time.n.08,verslaven,VERB,WW|vd|vrij|zonder
coffee.n.01,koffie.n.01,koffie,NOUN,N|soort|ev|basis|zijd|stan
company.n.01,female.n.02,Starbucks,PROPN,N|eigen|ev|basis|stan
"""Starbucks""",Starbucks,Starbucks,PROPN,N|eigen|ev|basis|stan
"""John""",now,,,
now,John,John,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,time.n.08,goed,ADJ,ADJ|vrij|basis|zonder
time.n.08,female.n.02,John,PROPN,N|eigen|ev|basis|zijd|stan
mathematics.n.01,wiskunde.n.01,wiskunde,NOUN,N|soort|ev|basis|zijd|stan
"""Tom""",Tom,Tom,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,female.n.02,Tom,PROPN,N|eigen|ev|basis|zijd|stan
time.n.08,time.n.08,koer_kerven,VERB,WW|pv|verl|ev
initial.n.01,initiaal.n.01,initiaal,NOUN,N|soort|mv|basis
oak.n.02,eik.n.01,eik,NOUN,N|soort|ev|basis|zijd|stan
large.a.01,groot.a.01,groot,ADJ,ADJ|prenom|basis|met-e|stan
location.n.01,school.n.02,school,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,vriend,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
friend.n.01,speaker,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
son.n.01,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
now,tien,tien,NOUN,TW|hoofd|prenom|stan
10,now,,,
person.n.01,zoon.n.01,zoon,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,jaar.n.01,jaar,NOUN,N|soort|ev|basis|onz|stan
measure.n.02,time.n.08,oud,ADJ,ADJ|vrij|basis|zonder
male.n.02,time.n.08,houden,VERB,WW|pv|tgw|met-t
cheese.n.01,kaas.n.01,kaas,NOUN,N|soort|ev|basis|zijd|stan
room.n.01,kamer.n.01,kamer,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,warm,ADJ,ADJ|vrij|basis|zonder
meter.n.02,parkeer_meter.n.01,parkeer_meter,NOUN,N|soort|mv|basis
male.n.02,wijk.n.01,wijk,NOUN,N|soort|ev|basis|zijd|stan
neighborhood.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
male.n.02,time.n.08,plaatsen,VERB,WW|pv|verl|ev
folder.n.02,map.n.01,map,NOUN,N|soort|ev|basis|zijd|stan
table.n.02,tafel.n.01,tafel,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,female.n.02,Nederland,PROPN,N|eigen|ev|basis|onz|stan
measure.n.02,time.n.08,werken,VERB,WW|pv|verl|ev
country.n.02,jaar.n.01,jaar,NOUN,N|soort|ev|basis|onz|stan
now,Nederland,Nederland,PROPN,N|eigen|ev|basis|onz|stan
year.n.01,now,,,
"""Nederland""",anderhalf,anderhalf,NOUN,TW|hoofd|prenom|stan
person.n.01,time.n.08,respecteren,VERB,WW|pv|tgw|ev
person.n.01,oud.a.01,oud,ADJ,ADJ|nom|comp|met-e|mv-n
male.n.02,person.n.01,zijn,PRON,VNW|bez|det|stan|vol|3|ev|prenom|zonder|agr
leg.n.01,been.n.01,been,NOUN,N|soort|mv|basis
time.n.08,time.n.08,lang,ADJ,ADJ|vrij|basis|zonder
"""Bill""",Japan,Japan,PROPN,N|eigen|ev|basis|onz|stan
now,Bill,Bill,PROPN,N|eigen|ev|basis|zijd|stan
"""Japan""",now,,,
"""El-Nashar""",Egypte,Egypte,PROPN,N|eigen|ev|basis|onz|stan
now,El-Nashar,El-Nashar,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,female.n.02,Egypte,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,female.n.02,El-Nashar,PROPN,N|eigen|ev|basis|zijd|stan
country.n.02,time.n.08,arresteren,VERB,WW|vd|vrij|zonder
"""Egypte""",now,,,
"""Tom""",Eurovisie,Eurovisie,PROPN,SPEC|deeleigen
"""Eurovisie Songfestival""",Tom,Tom,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,female.n.02,Eurovisie,PROPN,SPEC|deeleigen
tournament.n.01,female.n.02,Tom,PROPN,N|eigen|ev|basis|zijd|stan
time.n.08,time.n.08,winnen,VERB,WW|vd|vrij|zonder
person.n.01,time.n.08,toe_zijn,VERB,WW|pv|tgw|met-t
person.n.01,chef-kok.n.01,chef-kok,NOUN,N|soort|ev|basis|zijd|stan
chef.n.01,uitstekend.a.01,uitstekend,ADJ,ADJ|prenom|basis|met-e|stan
"""PM""",now,,,
company.n.01,time.n.08,verwerven,VERB,WW|pv|verl|ev
time.n.08,female.n.02,PM,PROPN,N|eigen|ev|basis|zijd|stan
factory.n.01,fabriek.n.01,fabriek,NOUN,N|soort|mv|basis
now,PM,PM,PROPN,N|eigen|ev|basis|zijd|stan
3,drie,drie,NOUN,TW|hoofd|prenom|stan
location.n.01,Russisch.a.01,Russisch,ADJ,ADJ|prenom|basis|met-e|stan
person.n.01,time.n.08,spelen,VERB,WW|pv|verl|ev
tennis.n.01,tennis.n.01,tennis,NOUN,N|soort|ev|basis|zijd|stan
"""Leloir""",Argentinië,Argentinië,PROPN,N|eigen|ev|basis|onz|stan
now,Leloir,Leloir,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,female.n.02,Argentinië,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,female.n.02,Leloir,PROPN,N|eigen|ev|basis|zijd|stan
"""Argentinië""",now,,,
dog.n.01,man.n.01,man,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,toe_bijten,VERB,WW|pv|verl|ev
man.n.01,hond.n.01,hond,NOUN,N|soort|ev|basis|zijd|stan
male.n.02,time.n.08,haten,VERB,WW|pv|tgw|ev
rule.n.01,regel.n.01,regel,NOUN,N|soort|mv|basis
speaker,speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
company.n.01,female.n.02,Microsoft,PROPN,N|eigen|ev|basis|onz|stan
"""Microsoft""",Microsoft,Microsoft,PROPN,N|eigen|ev|basis|onz|stan
person.n.01,person.n.01,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
mouse.n.04,muis.n.01,muis,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,kopen,VERB,WW|vd|vrij|zonder
"""Sylvia Costas""",Andy,Andy,PROPN,SPEC|deeleigen
female.n.02,female.n.02,Andy,PROPN,SPEC|deeleigen
time.n.08,time.n.08,echt_genote,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,female.n.02,Sylvia,PROPN,SPEC|deeleigen
wife.n.01,Sylvia,Sylvia,PROPN,SPEC|deeleigen
male.n.02,tijger.n.01,tijger,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,verslaan,VERB,WW|vd|vrij|zonder
tiger.n.02,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
father.n.01,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
person.n.01,vader.n.01,vader,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,groot,ADJ,ADJ|vrij|basis|zonder
entity.n.01,Cubaans.a.01,Cubaans,ADJ,ADJ|prenom|basis|met-e|stan
time.n.08,time.n.08,sigaar,NOUN,N|soort|ev|basis|zijd|stan
cigar.n.01,person.n.01,het,PRON,VNW|pers|pron|stan|red|3|ev|onz
male.n.02,time.n.08,eten,VERB,WW|pv|tgw|ev
banana.n.02,banaan.n.01,banaan,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,hebben,VERB,WW|pv|verl|ev
measure.n.02,dollar.n.01,dollar,NOUN,N|soort|ev|basis|zijd|stan
dollar.n.01,vijftig,vijftig,NOUN,TW|hoofd|prenom|stan
roof.n.01,dak.n.01,dak,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,lek,ADJ,ADJ|vrij|basis|zonder
person.n.01,time.n.08,heks,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,kopen,VERB,WW|vd|vrij|zonder
umbrella.n.01,paraplu.n.01,paraplu,NOUN,N|soort|ev|basis|zijd|stan
teapot.n.01,theepot.n.01,theepot,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,zijn,VERB,WW|pv|tgw|ev
coffin.n.01,lijk_wagen.n.01,lijk_wagen,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,laden,VERB,WW|vd|vrij|zonder
hearse.n.01,kist.n.01,kist,NOUN,N|soort|ev|basis|zijd|stan
"""Cristiani""",now,,,
male.n.02,time.n.08,vermoorden,VERB,WW|pv|verl|ev
time.n.08,female.n.02,Cristiani,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,jezuïet.n.01,jezuïet,NOUN,N|soort|mv|basis
now,Cristiani,Cristiani,PROPN,N|eigen|ev|basis|zijd|stan
6,zes,zes,NOUN,TW|hoofd|prenom|stan
male.n.02,stewardes.n.01,stewardes,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,trouwen,VERB,WW|pv|verl|ev
person.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
person.n.01,time.n.08,dol,ADJ,ADJ|vrij|basis|zonder
car.n.01,auto.n.01,auto,NOUN,N|soort|mv|basis
speaker,Tom.,Tom.,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,female.n.02,Tom.,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,time.n.08,jaloer,ADJ,ADJ|vrij|basis|zonder
house.n.01,huis.n.01,huis,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,staan,VERB,WW|pv|verl|ev
"""Castro""",VN.,VN.,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,female.n.02,VN.,PROPN,N|eigen|ev|basis|zijd|stan
time.n.08,time.n.08,bezoeken,VERB,WW|pv|tgw|met-t
alliance.n.03,female.n.02,Castro,PROPN,N|eigen|ev|basis|zijd|stan
"""VN""",Castro,Castro,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,deur.n.01,deur,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,kloppen,VERB,WW|pv|tgw|met-t
door.n.01,person.n.01,iemand,PRON,VNW|onbep|pron|stan|vol|3p|ev
10,tien,tien,NOUN,TW|hoofd|prenom|stan
person.n.01,geld.n.01,geld,NOUN,N|soort|ev|basis|onz|stan
time.n.08,female.n.02,Rode,PROPN,SPEC|deeleigen
money.n.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|mv
organization.n.01,time.n.08,schenken,VERB,WW|pv|verl|mv
now,Rode,Rode,PROPN,SPEC|deeleigen
"""Rode Kruis""",now,,,
old.a.01,now,,,
now,oud.a.01,oud,ADJ,ADJ|prenom|basis|met-e|stan
man.n.01,time.n.08,overrijden,VERB,WW|vd|vrij|zonder
time.n.08,man.n.01,man,NOUN,N|soort|ev|basis|zijd|stan
?,Prado,Prado,PROPN,SPEC|deeleigen
city.n.01,female.n.02,Prado,PROPN,SPEC|deeleigen
museum.n.01,stad.n.01,stad,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,dronken,ADJ,ADJ|vrij|basis|zonder
person.n.01,papier.n.01,papier,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,verbranden,VERB,WW|pv|verl|mv
paper.n.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|mv
female.n.02,time.n.08,modeontwerpster,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,noemen,VERB,WW|pv|tgw|ev
overture.n.01,ouverture.n.01,ouverture,NOUN,N|soort|ev|basis|zijd|stan
male.n.02,female.n.02,Berlioz,PROPN,N|eigen|ev|basis|zijd|stan
"""Berlioz""",Berlioz,Berlioz,PROPN,N|eigen|ev|basis|zijd|stan
time.n.08,time.n.08,bushalte,NOUN,N|soort|ev|basis|zijd|stan
bus_stop.n.01,person.n.01,dat,PRON,VNW|aanw|pron|stan|vol|3o|ev
female.n.02,time.n.08,terug_slaan,VERB,WW|pv|verl|ev
time.n.08,person.n.01,we,PRON,VNW|pers|pron|nomin|red|1|mv
now,speaker,we,PRON,VNW|pers|pron|nomin|red|1|mv
cat.n.01,water.n.06,water,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,bang,ADJ,ADJ|vrij|basis|zonder
water.n.01,kat.n.01,kat,NOUN,N|soort|mv|basis
male.n.02,time.n.08,kreunen,VERB,WW|pv|verl|ev
pain.n.01,pijn.n.01,pijn,NOUN,N|soort|ev|basis|zijd|stan
female.n.02,gezicht.n.01,gezicht,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,terug_slaan,VERB,WW|pv|verl|ev
male.n.02,person.n.01,zij,PRON,VNW|pers|pron|nomin|vol|3v|ev|fem
face.n.01,person.n.01,hem,PRON,VNW|pers|pron|obl|vol|3|ev|masc
female.n.02,time.n.08,molken,VERB,WW|vd|vrij|zonder
cow.n.01,koe.n.01,koe,NOUN,N|soort|ev|basis|zijd|stan
female.n.02,koffie.n.01,koffie,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,toe_voegen,VERB,WW|pv|verl|ev
milk.n.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
coffee.n.01,melk.n.01,melk,NOUN,N|soort|ev|basis|zijd|stan
headphone.n.01,koptelefoon.n.01,koptelefoon,NOUN,N|soort|mv|basis
time.n.08,time.n.08,werken,VERB,WW|pv|tgw|mv
film.n.01,roman.n.01,roman,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,baseren,VERB,WW|vd|vrij|zonder
novel.n.01,film.n.01,film,NOUN,N|soort|ev|basis|zijd|stan
male.n.02,time.n.08,spelen,VERB,WW|pv|tgw|met-t
hockey.n.01,hockey.n.01,hockey,NOUN,N|soort|ev|basis|zijd|stan
meeting.n.01,vergadering.n.01,vergadering,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,vijf.n.01,vijf,NUM,TW|hoofd|vrij
17:00,uur.n.01,uur,NOUN,N|soort|ev|basis|onz|stan
